date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:07	3725/3725	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Mar%202026%2004:52:07%20GMT	https://basketballgames.gitlab.io/robots.txt		(from )
00:52:07	28995/28995	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/index.html	(from )
00:52:07	194901/194901	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/css/bootstrap.min.css	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/css/bootstrap.min.css	(from https://basketballgames.gitlab.io/)
00:52:08	16397/16397	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/css/jquery-comments.css	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/css/jquery-comments.css	(from https://basketballgames.gitlab.io/)
00:52:08	2804/2804	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/css/user.css	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/css/user.css	(from https://basketballgames.gitlab.io/)
00:52:09	13070/13070	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/css/style.css	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/css/style.css	(from https://basketballgames.gitlab.io/)
00:52:10	120/120	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/css/custom.css	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/css/custom.css	(from https://basketballgames.gitlab.io/)
00:52:10	95609/95609	---MCZ	200	added ('OK')	text/css	etag:W/%2217579-AwBvMnkuAzSX6cpoNztsM4YwWTM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css	C:/My%20Web%20Sites/Revival/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css	(from https://basketballgames.gitlab.io/)
00:52:11	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Revival/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://basketballgames.gitlab.io/)
00:52:11	48320/48320	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/images/background1.png	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/images/background1.png	(from https://basketballgames.gitlab.io/)
00:52:12	48525/48525	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/category/popular.html	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/category/popular.html	(from https://basketballgames.gitlab.io/)
00:52:13	40808/40808	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/category/2-player.html	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/category/2-player.html	(from https://basketballgames.gitlab.io/)
00:52:13	42793/42793	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/category/car.html	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/category/car.html	(from https://basketballgames.gitlab.io/)
00:52:14	51986/51986	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/category/sports.html	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/category/sports.html	(from https://basketballgames.gitlab.io/)
00:52:14	43923/43923	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/category/new.html	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/category/new.html	(from https://basketballgames.gitlab.io/)
00:52:15	92009/92009	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/category/skill.html	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/category/skill.html	(from https://basketballgames.gitlab.io/)
00:52:16	23367/23367	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/category/running.html	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/category/running.html	(from https://basketballgames.gitlab.io/)
00:52:16	48808/48808	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/category/3d.html	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/category/3d.html	(from https://basketballgames.gitlab.io/)
00:52:17	31674/31674	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/category/shooting.html	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/category/shooting.html	(from https://basketballgames.gitlab.io/)
00:52:17	31955/31955	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/category/multiplayer.html	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/category/multiplayer.html	(from https://basketballgames.gitlab.io/)
00:52:18	39376/39376	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2008:36:22%20GMT	https://basketballgames.gitlab.io/category/racing.html	C:/My%20Web%20Sites/Revival/basketballgames.gitlab.io/category/racing.html	(from https://basketballgames.gitlab.io/)
